GVKEY,YEAR,CUSIP,CITY,CONAME,INDDESC,STATE,EXECID,EXEC_FNAME,EXEC_FULLNAME,EXEC_LNAME,EXEC_MNAME,GENDER,NAMEPREFIX,PAGE,TITLE,Birthdate,Astrological_Sign,rownum,month,day,CEO,CEO_top,CEO_low,chief_including CEO,Chief_excluding CEO,chief_low,chief_low_CEO_low,SVP,VP,VP_SVP
27965,1952,59501710,Chandler,MICROCHIP TECHNOLOGY INC,Semiconductors,AZ,7639,Mitche,Mitchell R. Little,Little,R.,MALE,Mr.,65,Vice President of Worldwide Sales & Applications,5/9/1952,Taurus,4957,5,9,,,,,,0,0,,1,1
178704,1952,90384S30,Bolingbrook,ULTA BEAUTY INC,Specialty Stores,IL,49553,Robert,Robert S. Guttman,Guttman,S.,MALE,Mr.,63,"Senior Vice President, General Counsel and Secretary",5/24/1952,Gemini,3613,5,24,,,,,,0,0,1,,1
29868,1952,55438210,Santa Monica,MACERICH CO,Retail REITs,CA,41382,Randy,Randy L. Brant,Brant,L.,MALE,Mr.,63,Executive Vice President of Real Estate,5/29/1952,Gemini,3513,5,29,,,,,,0,0,,1,1
24468,1952,09062X10,Cambridge,BIOGEN INC,Biotechnology,MA,19297,Burt,"Burt A. Adelman, M.D.","Adelman, M.D.",A.,MALE,Dr.,64,former executive vp-portfolio strategy,5/31/1952,Gemini,432,5,31,,,,,,0,0,,1,1
9899,1952,00206R10,Dallas,AT&T INC,Integrated Telecommunication Services,TX,24752,James,James W. Cicconi,Cicconi,W.,MALE,Mr.,63,Senior Executive Vice President of External and Legislative Affairs,6/8/1952,Gemini,1570,6,8,,,,,,0,0,1,,1
4699,1952,55261F10,Buffalo,M & T BANK CORP,Regional Banks,NY,32491,Brian,Brian E. Hickey,Hickey,E.,MALE,Mr.,63,executive vp;executive vp-M&T Bank,6/15/1952,Gemini,355,6,15,,,,,,0,0,,1,1
8068,1952,67459910,Houston,OCCIDENTAL PETROLEUM CORP,Integrated Oil & Gas,TX,40877,James,James M. Lienert,Lienert,M.,MALE,Mr.,63,Executive Vice President of Business Support,6/17/1952,Gemini,1522,6,17,,,,,,0,0,,1,1
14282,1952,3209510,Wallingford,AMPHENOL CORP,Electronic Components,CT,34221,Timoth,Timothy F. Cohane,Cohane,F.,MALE,Mr.,64,executive vp,7/5/1952,Cancer,3054,7,5,,,,,,0,0,,1,1
10466,1952,88160910,San Antonio,TESORO CORP,Oil & Gas Refining & Marketing,TX,33943,J.,J. William Haywood,Haywood,Willi,MALE,Mr.,,senior vp-refining,7/7/1952,cancer,1380,7,7,,,,,,0,0,1,,1
7257,1952,58933Y10,Kenilworth,MERCK & CO,Pharmaceuticals,NJ,25954,Raul,Raul E. Kohan,Kohan,E.,MALE,Mr.,63,Executive Vice President and Senior Advisor To Animal Health,7/18/1952,Cancer,3520,7,18,,,,,,0,0,,1,1
175263,1952,95980210,Englewood,WESTERN UNION CO,Data Processing & Outsourced Services,CO,34268,Willia,William D. Thomas,Thomas,D.,MALE,Mr.,63,former executive vp;president-the Americas,7/20/1952,Cancer,3260,7,20,,,,,,0,0,,1,1
11228,1952,92916010,Birmingham,VULCAN MATERIALS CO,Construction Materials,AL,24731,Daniel,Daniel F. Sansone,Sansone,F.,MALE,Mr.,64,Executive Vice President of Strategy,8/4/1952,,581,8,4,,,,,,0,0,,1,1
8402,1952,70432610,Rochester,PAYCHEX INC,Data Processing & Outsourced Services,NY,4417,Walter,Walter L. Turek,Turek,L.,MALE,Mr.,64,senior vp-sales & marketing,8/9/1952,Leo,3184,8,9,,,,,,0,0,1,,1
3026,1952,17134010,Ewing,CHURCH & DWIGHT INC,Household Products,NJ,21309,Mark,Mark G. Conish,Conish,G.,MALE,Mr.,63,Executive Vice President of Global Operations,8/23/1952,Virgo,2354,8,23,,,,,,0,0,,1,1
6829,1952,54866110,Mooresville,LOWE'S COMPANIES INC,Home Improvement Retail,NC,12722,Willia,"William C. Warden, Jr.","Warden, Jr.",C.,MALE,Mr.,,executive vp-administration,8/24/1952,Virgo,3252,8,24,,,,,,0,0,,1,1
24893,1952,96683710,Austin,WHOLE FOODS MARKET INC,Food Retail,TX,16169,James,James P. Sud,Sud,P.,MALE,Mr.,64,Executive Vice President of Growth and Business Development,8/28/1952,Virgo,1536,8,28,,,,,,0,0,,1,1
8549,1952,20825C10,Houston,CONOCOPHILLIPS,Oil & Gas Exploration & Production,TX,31023,James,James L. Gallogly,Gallogly,L.,MALE,Mr.,63,Executive Vice President of Exploration & Production,9/1/1952,Virgo,1504,9,1,,,,,,0,0,,1,1
1177,1952,00817Y10,Hartford,AETNA INC,Managed Health Care,CT,14384,David,David B. Kelso,Kelso,B.,MALE,Mr.,,executive vp-strategy & finance,9/4/1952,,669,9,4,,,,,,0,0,,1,1
1602,1952,3116210,Thousand Oaks,AMGEN INC,Biotechnology,CA,23219,Roger,"Roger M. Perlmutter, M.D.,","Perlmutter, M",M.,MALE,Dr.,64,Executive Vice President of Research & Development,9/16/1952,Virgo,3671,9,16,,,,,,0,0,,1,1
7257,1952,58933Y10,Kenilworth,MERCK & CO,Pharmaceuticals,NJ,23219,Roger,"Roger M. Perlmutter, M.D.,","Perlmutter, M",M.,MALE,Dr.,64,Executive Vice President and President of Merck Research Laboratorie,9/16/1952,Virgo,3672,9,16,,,,,,0,0,,1,1
11506,1952,96945710,Tulsa,WILLIAMS COS INC,Oil & Gas Storage & Transportation,OK,44290,Craig,Craig L. Rainey,Rainey,L.,MALE,Mr.,63,Senior Vice President and General Counsel,9/29/1952,,520,9,29,,,,,,0,0,1,,1
4430,1952,26884L10,Pittsburgh,EQT CORP,Oil & Gas Exploration & Production,PA,27469,John,John A. Bergonzi,Bergonzi,A.,MALE,Mr.,,vp  & controller,9/30/1952,Libra,1769,9,30,,,,,,0,0,,1,1
163946,1952,12526910,Deerfield,CF INDUSTRIES HOLDINGS INC,Fertilizers & Agricultural Chemicals,IL,32910,Monty,Monty R. Summa,Summa,R.,MALE,Mr.,63,former vp-sales,10/5/1952,Libra,4962,10,5,,,,,,0,0,,1,1
6008,1952,45814010,Santa Clara,INTEL CORP,Semiconductors,CA,47304,Willia,William M. Holt,Holt,M.,MALE,Mr.,63,Executive Vice President and General Manager of Technology & Manufac,10/7/1952,Libra,3315,10,7,,,,,,0,0,,1,1
186989,1952,56585A10,Findlay,MARATHON PETROLEUM CORP,Oil & Gas Refining & Marketing,OH,42110,J.,J. Michael Wilder,Wilder,Micha,MALE,Mr.,64,"Vice President, Secretary and General Counsel",10/8/1952,libra,1362,10,8,,,,,,0,0,,1,1
10867,1952,,,LAUDER (ESTEE) COS INC -CL A,,,32835,Richar,Richard W. Kunes,Kunes,W.,MALE,,63,Executive Vice President and Senior Advisor to The President & Chief,10/16/1952,Libra,4583,10,16,,,,,,0,0,,1,1
25340,1952,23331A10,Fort Worth,D R HORTON INC,Homebuilding,TX,28917,Gordon,Gordon D. Jones,Jones,D.,MALE,Mr.,57,vp & region president,10/21/1952,Libra,1167,10,21,,,,,,0,0,,1,1
110685,1952,50241310,New York,L3 TECHNOLOGIES INC,Aerospace & Defense,NY,49403,John,John S. Mega,Mega,S.,MALE,Mr.,63,Senior Vice President and President of Communication Systems,10/23/1952,Scorpio,1976,10,23,,,,,,0,0,1,,1
6829,1952,54866110,Mooresville,LOWE'S COMPANIES INC,Home Improvement Retail,NC,15179,Thomas,Thomas E. Whiddon,Whiddon,E.,MALE,Mr.,,executive vp-logistics and technology,10/24/1952,Scorpio,2939,10,24,,,,,,0,0,,1,1
28349,1952,2000210,Northbrook,ALLSTATE CORP,Property & Casualty Insurance,IL,27693,Ronald,Ronald D. McNeil,McNeil,D.,MALE,Mr.,64,senior vp-Allstate protection product distribution,11/4/1952,Scorpio,3685,11,4,,,,,,0,0,1,,1
6216,1952,46981410,Dallas,JACOBS ENGINEERING GROUP INC,Construction & Engineering,TX,30635,George,"George A. Kunberger, Jr.","Kunberger, Jr",A.,MALE,Mr.,64,Executive Vice President of Global Sales and Marketing,11/13/1952,Scorpio,1084,11,13,,,,,,0,0,,1,1
9667,1952,82434810,Cleveland,SHERWIN-WILLIAMS CO,Specialty Chemicals,OH,32481,Steven,Steven J. Oberfeld,Oberfeld,J.,MALE,Mr.,64,Senior Vice President of Corporate Planning & Development,11/13/1952,Scorpio,3976,11,13,,,,,,0,0,1,,1
61591,1952,64110D10,Sunnyvale,NETAPP INC,"Technology Hardware, Storage & Peripherals",CA,40377,Andrew,Andrew Kryder,Kryder,,MALE,Mr.,64,"Senior Vice President of Legal & Tax, General Counsel and Corporate",11/14/1952,Scorpio,140,11,14,,,,,,0,0,1,,1
11506,1952,96945710,Tulsa,WILLIAMS COS INC,Oil & Gas Storage & Transportation,OK,47393,John,John R. Dearborn,Dearborn,R.,MALE,Mr.,58,Senior Vice President of NGL & Petchem Services,11/20/1952,Scorpio,1951,11,20,,,,,,0,0,1,,1
126554,1952,00846U10,Santa Clara,AGILENT TECHNOLOGIES INC,Life Sciences Tools & Services,CA,28977,Jean,Jean M. Halloran,Halloran,M.,FEMA,Ms.,64,senior vp-human resources,11/22/1952,Sagittarius,1617,11,22,,,,,,0,0,1,,1
9778,1952,83303410,Kenosha,SNAP-ON INC,Industrial Machinery,WI,32555,Thomas,Thomas L. Kassouf,Kassouf,J.,MALE,Mr.,63,Senior Vice President and President of the Snap-On Tools Group,12/1/1952,Libra,2991,12,1,,,,,,0,0,1,,1
8030,1952,67034610,Charlotte,NUCOR CORP,Steel,NC,16504,D.,D. Michael Parrish,Parrish,Micha,MALE,Mr.,63,Executive Vice President,12/9/1952,,552,12,9,,,,,,0,0,,1,1
145701,1952,74251V10,Des Moines,PRINCIPAL FINANCIAL GRP INC,Life & Health Insurance,IA,37746,Terran,Terrance J. Lillis,Lillis,J.,MALE,Mr.,63,Executive Vice President,12/9/1952,Sagittarius,4068,12,9,,,,,,0,0,,1,1
9203,1952,77390310,Milwaukee,ROCKWELL AUTOMATION,Electrical Components & Equipment,WI,27322,Steven,Steven A. Eisenbrown,Eisenbrown,A.,MALE,Mr.,63,Senior Vice President of Strategic Development,12/16/1952,Sagittarius,3937,12,16,,,,,,0,0,1,,1
145552,1953,15135B10,St. Louis,CENTENE CORP,Managed Health Care,MO,34965,John,John D. Tadich,Tadich,D.,MALE,Mr.,65,senior vp -specialty companies,1/16/1953,Capricorn,1824,1,16,,,,,,0,0,1,,1
4145,1953,71404610,Waltham,PERKINELMER INC,Life Sciences Tools & Services,MA,20854,Terran,Terrance L. Carlson,Carlson,L.,MALE,Mr.,,"senior vp, general counsel & clerk",1/21/1953,Aquarius,4069,1,21,,,,,,0,0,1,,1
7228,1953,G5960L10,Dublin,MEDTRONIC PLC,Health Care Equipment,Ir,20854,Terran,Terrance L. Carlson,Carlson,L.,MALE,Mr.,,"senior vp, general counsel & secretary",1/21/1953,Aquarius,4070,1,21,,,,,,0,0,1,,1
16245,1953,71270410,Bridgeport,PEOPLE'S UNITED FINL INC,Regional Banks,CT,34775,Robert,Robert R. D'Amore,D'Amore,R.,MALE,Mr.,63,Senior Executive Vice President of Retail & Business Banking Divisio,1/21/1953,Aquarius,2922,1,21,,,,,,0,0,1,,1
9445,1953,80589M10,Cayce,SCANA CORP,Multi-Utilities,SC,29045,Joseph,Joseph C. Bouknight,Bouknight,C.,MALE,Mr.,64,senior vp-human resources,2/7/1953,Aquarius,2071,2,7,,,,,,0,0,1,,1
60900,1953,25470M10,Englewood,DISH NETWORK CORP,Cable & Satellite,CO,18920,James,James DeFranco,DeFranco,,MALE,Mr.,63,"Co-Founder, Executive Vice President and Director",2/21/1953,Pisces,1450,2,21,,,,,,0,0,,1,1
1078,1953,282410,North Chicago,ABBOTT LABORATORIES,Health Care Equipment,IL,32570,James,James L. Tyree,Tyree,L.,MALE,Mr.,63,executive vp-pharmaceutical products group,3/9/1953,Pisces,1511,3,9,,,,,,0,0,,1,1
10631,1953,89190610,Columbus,TOTAL SYSTEM SERVICES INC,Data Processing & Outsourced Services,GA,12465,Willia,William A. Pruett,Pruett,A.,MALE,Mr.,62,Senior Executive Vice President and President of North America Servi,3/10/1953,Pisces,3230,3,10,,,,,,0,0,1,,1
1487,1953,2687478,New York,AMERICAN INTERNATIONAL GROUP,Multi-line Insurance,NY,42404,Willia,William N. Dooley,Dooley,N.,MALE,Mr.,63,Executive Vice President of Investments,3/17/1953,Pisces,3321,3,17,,,,,,0,0,,1,1
8972,1953,75511150,Waltham,RAYTHEON CO,Aerospace & Defense,MA,26064,Louise,Louise L. Francesconi,Francesconi,L.,FEMA,Ms.,63,vp; president-missile systems,3/29/1953,Aries,2239,3,29,,,,,,0,0,,1,1
64410,1953,14313010,Richmond,CARMAX INC,Automotive Retail,VA,40185,Eric,Eric M. Margolin,Margolin,M.,MALE,Mr.,65,"Executive Vice President, General Counsel and Corporate Secretary",3/31/1953,Aries,894,3,31,,,,,,0,0,,1,1
1449,1953,105510,Columbus,AFLAC INC,Life & Health Insurance,GA,35216,Joey,Joey Matthew Loudermilk,Loudermilk,Matth,MALE,Mr.,62,"Executive Vice President, General Counsel, Corporate Secretary of Af",4/4/1953,Aries,1766,4,4,,,,,,0,0,,1,1
6774,1953,53983010,Bethesda,LOCKHEED MARTIN CORP,Aerospace & Defense,MD,32544,Linda,Linda R. Gooden,Gooden,R.,FEMA,Ms.,63,Executive Vice President of Information Systems and Global Solutions,4/12/1953,Aries,2200,4,12,,,,,,0,0,,1,1
8264,1953,69331C10,San Francisco,PG&E CORP,Electric Utilities,CA,32651,Rand,Rand L. Rosenberg,Rosenberg,L.,MALE,Mr.,62,Senior Vice President of Corporate Strategy & Development,4/20/1953,Taurus,3493,4,20,,,,,,0,0,1,,1
11032,1953,91390310,King Of Prussia,UNIVERSAL HEALTH SVCS INC,Health Care Facilities,PA,31813,Michae,Michael Marquez,Marquez,,MALE,Mr.,62,Senior Vice President and President of the Acute Care Division,4/30/1953,Taurus,2639,4,30,,,,,,0,0,1,,1
1678,1953,3741110,Houston,APACHE CORP,Oil & Gas Exploration & Production,TX,48962,W.,W. Kregg Olson,Olson,Kregg,MALE,Mr.,62,Executive Vice President of Corporate Reservoir Engineering,5/3/1953,Taurus,3167,5,3,,,,,,0,0,,1,1
6730,1953,53245710,Indianapolis,LILLY (ELI) & CO,Pharmaceuticals,IN,40863,Jan,"Jan M. Lundberg, Ph.D.","Lundberg, Ph.",M.,MALE,Dr.,62,Executive Vice President of Science & Technology and President of Li,5/7/1953,Taurus,1583,5,7,,,,,,0,0,,1,1
64853,1953,74736K10,Greensboro,QORVO INC,Semiconductors,NC,20499,Arthur,Arthur E. Geiss,Geiss,E.,MALE,Mr.,64,vp-wafer fabrication operations,5/12/1953,Taurus,221,5,12,,,,,,0,0,,1,1
24856,1953,37555810,Foster City,GILEAD SCIENCES INC,Biotechnology,CA,27546,John,John J. Toole,Toole,J.,MALE,Mr.,63,senior vp-clinical research,5/15/1953,Taurus,1887,5,15,,,,,,0,0,1,,1
6565,1953,51280710,Fremont,LAM RESEARCH CORP,Semiconductor Equipment,CA,33629,Richar,Richard A. Gottscho,Gottscho,A.,MALE,Dr.,64,Executive Vice President of Global Products,5/19/1953,Taurus,3571,5,19,,,,,,0,0,,1,1
8068,1953,67459910,Houston,OCCIDENTAL PETROLEUM CORP,Integrated Oil & Gas,TX,25964,John,John W. Morgan,Morgan,W.,MALE,Mr.,62,executive vp,5/30/1953,Gemini,2008,5,30,,,,,,0,0,,1,1
1704,1953,3822210,Santa Clara,APPLIED MATERIALS INC,Semiconductor Equipment,CA,20080,Thomas,Thomas St. Dennis,Dennis,St.,MALE,Mr.,62,"Senior Vice President, General Manager Silicon Systems Group",6/7/1953,Gemini,3031,6,7,,,,,,0,0,1,,1
12138,1953,,,PINNACLE WEST CAPITAL CORP,,,33218,Randal,Randall K. Edington,Edington,K.,MALE,,62,Executive Vice President of Arizona Public Service Company and Advis,6/12/1953,Gemini,4437,6,12,,,,,,0,0,,1,1
8007,1953,94974610,San Francisco,WELLS FARGO & CO,Diversified Banks,CA,23164,Mark,Mark C. Oman,Oman,C.,MALE,Mr.,62,Head of Home & Consumer Finance Group and Senior Executive Vice Pres,6/14/1953,Gemini,2333,6,14,,,,,,0,0,1,,1
65609,1953,12541W20,Eden Prairie,C H ROBINSON WORLDWIDE INC,Air Freight & Logistics,MN,18531,Joseph,Joseph J. Mulvehill,Mulvehill,J.,MALE,Mr.,,vp-international,6/23/1953,Cancer,2091,6,23,,,,,,0,0,,1,1
10631,1953,89190610,Columbus,TOTAL SYSTEM SERVICES INC,Data Processing & Outsourced Services,GA,14315,G.,"G. Sanders Griffith, III","Griffith, III",Sande,MALE,Mr.,62,"Senior Executive Vice President, General Counsel and Secretary",6/27/1953,Cancer,1026,6,27,,,,,,0,0,1,,1
8247,1953,69350610,Pittsburgh,PPG INDUSTRIES INC,Specialty Chemicals,PA,43923,Viktor,Viktoras R. Sekmakas,Sekmakas,R.,MALE,Mr.,55,Executive Vice President,7/2/1953,Cancer,3141,7,2,,,,,,0,0,,1,1
23809,1953,5333210,Memphis,AUTOZONE INC,Automotive Retail,TN,30484,Bradle,Bradley W. Bacon,Bacon,W.,MALE,Mr.,,"executive vp-store operations, commerical and ALLDATA",7/10/1953,Cancer,329,7,10,,,,,,0,0,,1,1
9846,1953,28102010,Rosemead,EDISON INTERNATIONAL,Electric Utilities,CA,32521,Polly,Polly L. Gault,Gault,L.,FEMA,Ms.,62,executive vp,7/15/1953,,3447,7,15,,,,,,0,0,,1,1
8264,1953,69331C10,San Francisco,PG&E CORP,Electric Utilities,CA,30872,Thomas,Thomas E. Bottorff,Bottorff,E.,MALE,Mr.,,senior vp-regulatory relations-PG&E Company,7/16/1953,Cancer,2930,7,16,,,,,,0,0,1,,1
142953,1953,60920710,Deerfield,MONDELEZ INTERNATIONAL INC,Packaged Foods & Meats,IL,31201,Richar,Richard G. Searer,Searer,G.,MALE,Mr.,62,Executive Vice President and President of Kraft North America Commer,7/18/1953,Cancer,3608,7,18,,,,,,0,0,,1,1
4503,1953,30231G10,Irving,EXXON MOBIL CORP,Integrated Oil & Gas,TX,36863,Michae,Michael J. Dolan,Dolan,J.,MALE,Mr.,62,Senior Vice President,7/25/1953,Leo,2590,7,25,,,,,,0,0,1,,1
3310,1953,12673P10,New York,CA INC,Systems Software,NY,28521,Greg,Greg Corgan,Corgan,,MALE,Mr.,,executive vp-worldwide sales,7/29/1953,leo,1179,7,29,,,,,,0,0,,1,1
5709,1953,44045210,Austin,HORMEL FOODS CORP,Packaged Foods & Meats,MN,30652,Ronald,Ronald W. Fielding,Fielding,W.,MALE,Mr.,63,"Executive Vice President of Corporate Strategy, Planning & Developme",7/31/1953,Leo,3705,7,31,,,,,,0,0,,1,1
177884,1953,20605P10,Midland,CONCHO RESOURCES INC,Oil & Gas Exploration & Production,TX,48882,Matthe,Matthew G. Hyde,Hyde,G.,MALE,Mr.,60,Senior Vice President of Exploration,8/14/1953,Leo,2470,8,14,,,,,,0,0,1,,1
6335,1953,48517030,Kansas City,KANSAS CITY SOUTHERN,Railroads,MO,31521,Richar,Richard M. Zuza,Zuza,M.,MALE,Mr.,,senior vp-international purchasing & materials,8/18/1953,Leo,2715,8,18,,,,,,0,0,1,,1
7017,1953,56584910,Houston,MARATHON OIL CORP,Oil & Gas Exploration & Production,TX,29019,Gary,Gary R. Heminger,Heminger,R.,MALE,Mr.,63,"Executive Vice President, Executive Vice President of Downstream and",9/10/1953,Virgo,1071,9,10,,,,,,0,0,,1,1
7912,1953,65504410,Houston,NOBLE ENERGY INC,Oil & Gas Exploration & Production,TX,21173,James,James L. McElvany,McElvany,L.,MALE,Mr.,,senior vp,9/11/1953,Virgo,1507,9,11,,,,,,0,0,1,,1
141459,1953,H2906T10,Schaffhausen,GARMIN LTD,Consumer Electronics,Sw,43792,Danny,Danny J. Bartel,Bartel,J.,MALE,Mr.,66,Vice President of Worldwide Sales,9/12/1953,,625,9,12,,,,,,0,0,,1,1
163946,1953,12526910,Deerfield,CF INDUSTRIES HOLDINGS INC,Fertilizers & Agricultural Chemicals,IL,32906,David,David J. Pruett,Pruett,J.,MALE,Mr.,62,senior vp-operations,9/21/1953,,730,9,21,,,,,,0,0,1,,1
10894,1953,90265310,Highlands Ranch,UDR INC,Residential REITs,CO,35428,Warren,"Warren L. Troupe, J.D.","Troupe, J.D.",L.,MALE,Mr.,62,"Senior Executive Vice President, Corporate Compliance Officer and Se",9/21/1953,Virgo,3194,9,21,,,,,,0,0,1,,1
7620,1953,62671710,El Dorado,MURPHY OIL CORP,Oil & Gas Exploration & Production,AR,26139,W.,W. Michael Hulse,Hulse,Micha,MALE,Mr.,,executive vp-worldwide downstream operations,9/22/1953,Virgo,3170,9,22,,,,,,0,0,,1,1
1380,1953,42809H10,New York,HESS CORP,Oil & Gas Exploration & Production,NY,18904,Borden,Borden F. Walker,Walker,F.,MALE,Mr.,62,President of Refining & Marketing and Executive Vice President,9/25/1953,Libra,311,9,25,,,,,,0,0,,1,1
16478,1953,26875P10,Houston,EOG RESOURCES INC,Oil & Gas Exploration & Production,TX,21079,Loren,Loren M. Leiker,Leiker,M.,MALE,Mr.,62,Senior Executive Vice President of Exploration,9/25/1953,Libra,2224,9,25,,,,,,0,0,1,,1
5742,1953,15189T10,Houston,CENTERPOINT ENERGY INC,Multi-Utilities,TX,46885,Joseph,Joseph B. McGoldrick,McGoldrick,B.,MALE,Mr.,62,Executive Vice President and President of Gas Division,9/28/1953,Libra,2066,9,28,,,,,,0,0,,1,1
20548,1953,12709710,Houston,CABOT OIL & GAS CORP,Oil & Gas Exploration & Production,TX,42801,George,George Kevin Cunningham,Cunningham,Kevin,MALE,Mr.,62,Vice President and General Counsel,10/6/1953,Libra,1097,10,6,,,,,,0,0,,1,1
29736,1953,89235610,Brentwood,TRACTOR SUPPLY CO,Specialty Stores,TN,25035,Gerald,Gerald W. Brase,Brase,W.,MALE,Mr.,,senior vp-merchandising,10/7/1953,Libra,1128,10,7,,,,,,0,0,1,,1
8068,1953,67459910,Houston,OCCIDENTAL PETROLEUM CORP,Integrated Oil & Gas,TX,29020,R.,R. Casey Olson,Olson,Casey,MALE,Mr.,62,Executive Vice President,10/10/1953,Libra,3455,10,10,,,,,,0,0,,1,1
3231,1953,20034010,Dallas,COMERICA INC,Diversified Banks,TX,50413,J.,J. Patrick Faubion,Faubion,Patri,MALE,Mr.,62,Head of the Banking - Business Bank and Executive Vice President of,10/10/1953,libra,1364,10,10,,,,,,0,0,,1,1
11456,1953,96216610,Seattle,WEYERHAEUSER CO,Specialized REITs,WA,32566,Patric,"Patricia Margaret Bedient,","Bedient, CPA",Marga,FEMA,Ms.,62,Executive Vice President,10/17/1953,Libra,5070,10,17,,,,,,0,0,,1,1
20904,1953,43644010,Marlborough,HOLOGIC INC,Health Care Equipment,MA,24308,John,John R. Pekarsky,Pekarsky,R.,MALE,Mr.,62,senior vp,10/23/1953,Scorpio,1961,10,23,,,,,,0,0,1,,1
11032,1953,91390310,King Of Prussia,UNIVERSAL HEALTH SVCS INC,Health Care Facilities,PA,44285,Marvin,Marvin G. Pember,Pember,G.,MALE,Mr.,62,Executive Vice President and President of Acute Care Division,10/28/1953,Scorpio,2442,10,28,,,,,,0,0,,1,1
7063,1953,44107P10,Bethesda,HOST HOTELS & RESORTS INC,Hotel & Resort REITs,MD,31071,Minaz,Minaz B. Abji,Abji,B.,MALE,Mr.,62,Executive Vice President of Asset Management,10/29/1953,Scorpio,4950,10,29,,,,,,0,0,,1,1
24197,1953,45168D10,Westbrook,IDEXX LABS INC,Health Care Equipment,ME,7796,Louis,Louis W. Pollock,Pollock,W.,MALE,Mr.,,senior vp,11/10/1953,Scorpio,2238,11,10,,,,,,0,0,1,,1
25056,1953,88731730,New York,TIME WARNER INC,Movies & Entertainment,NY,31043,Patric,Patricia D. Fili-Krushel,Fili-Krushel,D.,FEMA,Ms.,62,Executive Vice President of Administration,11/12/1953,Scorpio,5066,11,12,,,,,,0,0,,1,1
4060,1953,26054310,Midland,DOW CHEMICAL,Diversified Chemicals,MI,30980,Michae,Michael R. Gambrell,Gambrell,R.,MALE,Mr.,62,executive vp,11/14/1953,Scorpio,2651,11,14,,,,,,0,0,,1,1
8358,1953,70109410,Cleveland,PARKER-HANNIFIN CORP,Industrial Machinery,OH,48232,Daniel,Daniel S. Serbin,Serbin,S.,MALE,Mr.,62,Executive Vice President of Human Resources and External Affairs,11/15/1953,,620,11,15,,,,,,0,0,,1,1
8151,1953,68268010,Tulsa,ONEOK INC,Oil & Gas Storage & Transportation,OK,47347,Wesley,Wesley John Christensen,Christensen,John,MALE,Mr.,62,Senior Vice President of Operations,11/19/1953,Scorpio,3213,11,19,,,,,,0,0,1,,1
11060,1953,91820410,Greensboro,VF CORP,"Apparel, Accessories & Luxury Goods",NC,29293,George,George N. Derhofer,Derhofer,N.,MALE,Mr.,62,senior vp-global operations,12/13/1953,Sagittarius,1103,12,13,,,,,,0,0,1,,1
6304,1953,48248010,Milpitas,KLA-TENCOR CORP,Semiconductor Equipment,CA,30563,Avi,Avi Cohen,Cohen,,MALE,Mr.,63,former group vp,12/26/1953,Capricorn,241,12,26,,,,,,0,0,,1,1
25056,1954,88731730,New York,TIME WARNER INC,Movies & Entertainment,NY,41349,Edward,Edward I. Adler,Adler,I.,MALE,Mr.,64,Executive Vice President of Corporate Communications,1/12/1954,Capricorn,832,1,12,,,,,,0,0,,1,1
1078,1954,282410,North Chicago,ABBOTT LABORATORIES,Health Care Equipment,IL,18569,Richar,Richard A. Gonzalez,Gonzalez,A.,MALE,Mr.,62,Executive Vice President of Pharmaceutical Products,1/21/1954,Aquarius,3569,1,21,,,,,,0,0,,1,1
4321,1954,29101110,St. Louis,EMERSON ELECTRIC CO,Electrical Components & Equipment,MO,34731,Frank,Frank L. Steeves,Steeves,L.,MALE,Mr.,62,"Executive Vice President, General Counsel and Secretary",1/21/1954,Aquarius,978,1,21,,,,,,0,0,,1,1
22325,1954,98391910,San Jose,XILINX INC,Semiconductors,CA,31156,Boon,Boon Chye Ooi,Ooi,Chye,MALE,Mr.,62,former senior vp-worldwide operations and business process reenginee,2/6/1954,Aquarius,309,2,6,,,,,,0,0,1,,1
180711,1954,Y0982710,Singapore,BROADCOM LTD,Semiconductors,Si,31156,Boon,Boon Chye Ooi,Ooi,Chye,MALE,Mr.,62,Senior Vice President of Global Operations,2/6/1954,Aquarius,310,2,6,,,,,,0,0,1,,1
8358,1954,70109410,Cleveland,PARKER-HANNIFIN CORP,Industrial Machinery,OH,34162,Marwan,Marwan M. Kashkoush,Kashkoush,M.,MALE,Mr.,62,Executive Vice President of Sales & Marketing and Operations Support,2/10/1954,Aquarius,2446,2,10,,,,,,0,0,,1,1
24468,1954,09062X10,Cambridge,BIOGEN INC,Biotechnology,MA,43230,Steven,"Steven H. Holtzman, D.Phil.","Holtzman, D.P",H.,MALE,Mr.,62,Executive Vice President of Corporate Development,2/12/1954,Aquarius,3962,2,12,,,,,,0,0,,1,1
3121,1954,18905410,Oakland,CLOROX CO/DE,Household Products,CA,20191,Frank,Frank A. Tataseo,Tataseo,A.,MALE,Mr.,62,Executive Vice President of New Business Development,2/16/1954,Aquarius,961,2,16,,,,,,0,0,,1,1
1678,1954,3741110,Houston,APACHE CORP,Oil & Gas Exploration & Production,TX,41128,P.,P. Anthony Lannie,Lannie,Antho,MALE,Mr.,62,Executive Vice President and General Counsel,2/21/1954,Pisces,5045,2,21,,,,,,0,0,,1,1
13700,1954,24906P10,York,DENTSPLY SIRONA INC,Health Care Supplies,PA,31648,Brian,Brian M. Addison,Addison,M.,MALE,Mr.,61,"vp, secretary & general counsel",3/2/1954,Pisces,370,3,2,,,,,,0,0,,1,1
